locode,name,country_code,latitude,longitude,port_size,max_vessel_size,channel_depth_m,cargo_depth_m,teu_thousands,zone_code,wpi_id,function,status,active
AEABU,Abu al Bukhoosh,AE,25.4833,53.1333,,,,,,,,1-------,RL,1
AEAUH,Abu Dhabi,AE,24.4667,54.3667,,,,,,,,1-345---,AI,1
AEAMU,Abu Musa,AE,25.8667,55.0167,,,,,,,,1-------,RL,1
AEARP,Ahmed Bin Rashid Port,AE,25.5333,55.55,,,,,,,,1-------,RL,1
AEAJM,Ajman,AE,25.42,55.43,Very Small,medium vessels,45.7,49.4,,,48270,1-3-----,RL,1
AEFJR,Al Fujayrah,AE,25.1167,56.3333,,,,,,,,1--4----,AI,1
AEJAZ,Al Jazeera Port,AE,25.7167,55.8,Small,,,49.4,,ME-MID,48269,1-------,RL,1
AEAJP,Al Jeer Port,AE,26.0333,56.05,,,,,,,,1-3-----,RL,1
AERUW,Ar Ruways,AE,24.1167,52.7333,,,,,,,,1-------,RL,1
AEDAS,Das Island,AE,25.15,52.87,Very Small,medium vessels,9.1,,,ME-MID,48277,1-------,RL,1
AEDBP,Dibba,AE,25.6167,56.2667,,,,,,,,1-3-----,RL,1
AEDXB,Dubai,AE,25.25,55.2667,,,,,,,,1-345---,AI,1
AEEND,Esnnad,AE,24.3167,54.45,,,,,,,,1-------,RQ,1
AEFAT,Fateh Terminal,AE,,,,,,,,,,1-------,QQ,1
AEFRP,Free Port,AE,25.25,55.25,Very Small,large vessels,34.7,42.1,,NAE-GUS,9250,1-------,RL,1
AEHZP,Hamriya Free Zone Port,AE,25.3,55.3167,,,,,,,,1-------,RL,1
AEHSN,Hassyan,AE,24.9,54.9,,,,,,,,1-3-----,AA,1
AEHTL,Hulaylah Terminal,AE,25.9833,55.9333,Very Small,medium vessels,12.8,,,ME-MID,48280,1-------,RQ,1
AEJEA,Jebel Ali,AE,,,,,,,,,,1-------,QQ,1
AEQWE,Jebel Ali Free Zone,AE,25.015,55.06,Major,large vessels,23.8,34.7,15536,ME-MID,48276,1-3-----,RL,1
AEJED,Jebel Dhanna,AE,,,,,,,,,,1-------,QQ,1
AEKLB,Kalba,AE,25.0667,56.35,,,,,,,,1-3-----,RL,1
AEKLF,Khor al Fakkan,AE,25.3333,56.35,Large,large vessels,31.1,23.8,,ME-MID,48263,1-------,RL,1
AEMKH,Mina Khalid,AE,25.35,55.3667,,,,,,,,1-3-----,RL,1
AEKHL,Mina Khalifa/Abu Dhabi,AE,24.8333,54.6667,,,,,,,,1-------,RL,1
AEMRP,Mina Rashid Port,AE,25.2667,55.2833,Small,large vessels,31.1,31.1,,ME-MID,48275,1-------,RL,1
AEMSA,Mina Saqr,AE,25.9667,56.0667,Very Small,medium vessels,34.7,34.7,,ME-MID,48264,1-------,RQ,1
AEMZD,Mina Zayed/Abu Dhabi,AE,24.52,54.595,Major,large vessels,27.4,31.1,5421,ME-MID,48278,1-------,RL,1
AERFA,Mirfa,AE,25.4667,53.4833,,,,,,,,1----6--,RQ,1
AEMUB,Mubarek Terminal,AE,,,,,,,,,,1-------,QQ,1
AEMBS,Mubarras Island,AE,24.5833,53.3167,,,,,,,,1-------,RQ,1
AEAMF,Musaffah,AE,24.3833,54.4833,,,,,,,,1-3-----,RL,1
AEPRA,Port Rashid,AE,,,,,,,,,,1-------,RQ,1
AERKP,Rak Khor Port,AE,25.8167,55.95,,,,,,,,1-------,RL,1
AERMC,Rak Maritime City,AE,25.95,56.05,,,,,,,,1-------,RL,1
AERKT,Ras al Khaimah,AE,25.7833,55.95,,,,,,,,1--4----,AI,1
AERWP,Ruwais Port,AE,24.1,52.7167,,,,,,,,1-------,RL,1
AESID,Sadiyat Island,AE,24.5333,54.4,,,,,,,,1-------,RQ,1
AESHJ,Sharjah,AE,25.35,55.3833,,,,,,,,1-34----,AI,1
AEDUJ,The Palm Jumeirah,AE,,,,,,,,,,1-------,RQ,1
AEULR,Umm Al Nar,AE,24.4333,54.5,Very Small,medium vessels,34.7,42.1,,ME-MID,48279,1-------,RQ,1
AEQIW,Umm al Quwain,AE,25.5833,55.5833,Small,medium vessels,38.4,38.4,,ME-MID,48273,1--4----,AI,1
AEYAS,Yas Island,AE,24.3167,52.6,,,,,,,,1-------,RL,1
AEZUR,Zirku Island,AE,24.8833,53.0667,Small,,12.8,,,ME-MID,48267,1-------,RL,1
AFDHD,Dehdadi,AF,36.65,66.9833,,,,,,,,1----6--,RL,1
AFQLT,Qalat,AF,32.1,66.8833,,,,,,,,1-3-----,RL,1
AFRKH,Torkham,AF,34.8833,71.9167,,,,,,,,1-------,RL,1
AGANU,Antigua,AG,,,,,,,,,,1---5---,AI,1
AGBBQ,Barbuda,AG,,,,,,,,,,1-------,AI,1
AGFAM,Falmouth,AG,17.0167,-61.7833,Very Small,medium vessels,56.7,56.7,,,7320,1----6--,RL,1
AGPHM,Parham,AG,17.0833,-61.75,,,,,,,,1----6--,RL,1
AGSJO,Saint John's,AG,17.1167,-61.85,Minor,large vessels,38.4,27.4,,NAE-CAR,11430,1-------,AI,1
AIBLP,Blowing Point,AI,,,,,,,,,,1-------,QQ,1
AIMBB,Meads Bay Beach,AI,18.1667,-63.1333,,,,,,,,1-------,RL,1
AISOM,Sombrero,AI,18.6,-63.4667,,,,,,,,1-------,RQ,1
AIFOR,The Forest,AI,,,,,,,,,,1-------,QQ,1
AIROA,The Road,AI,,,,,,,,,,1-------,QQ,1
AIWLL,Wall Blake,AI,,,,,,,,,,1--4----,RL,1
ALBUT,Butrint,AL,39.75,20.0167,,,,,,,,1-------,RQ,1
ALDRZ,DurrÃ«s,AL,41.32,19.45,Medium,medium vessels,42.1,42.1,,EU-BLA,41670,1-------,RL,1
ALHMR,Himare,AL,40.1333,19.7167,,,,,,,,1-------,RQ,1
ALROM,Romano Port,AL,41.3667,19.4167,,,,,,,,1-3-----,RL,1
ALSAR,SarandÃ«,AL,39.8833,20.0,,,,,,,,1-------,RL,1
ALSHG,ShÃ«ngjin,AL,41.8,19.5667,Very Small,,53.0,49.4,,EU-BLA,41660,1-------,RL,1
ALVOA,VlorÃ«,AL,40.4667,19.4833,Very Small,medium vessels,42.1,42.1,,EU-BLA,41690,1-------,RL,1
AMJER,Jermuk,AM,,,,,,,,,,1----6--,RL,1
AOAZZ,Ambriz,AO,,,,,,,,,,1--4----,AI,1
AOBAB,Baba,AO,-14.8333,12.2333,,,,,,,,1-------,RQ,1
AOBDT,BaÃ­a dos Tigres,AO,-16.6,11.7333,,,,,,,,1-------,RL,1
AOBDD,Barra do Dande,AO,,,,,,,,,,1-------,RL,1
AOBUG,Benguela,AO,,,,,,,,,,1--4----,AI,1
AOCAB,Cabinda,AO,-5.53,12.2,Small,large vessels,53.0,53.0,,,46490,1--4----,AI,1
AOCPO,Capulo,AO,-7.9833,13.1667,,,,,,,,1-------,RQ,1
AOCUI,Cuio,AO,-12.9833,12.9833,,,,,,,,1-------,RQ,1
AODAL,Dalia,AO,-7.6833,11.7833,Very Small,large vessels,5.5,5.5,,AF-SAF,46551,1-------,RQ,1
AODGR,Dombe Grande,AO,,,,,,,,,,1-------,RL,1
AOETN,Essungo Terminal,AO,-6.3333,12.1667,,,,,,,,1-------,RQ,1
AOFBY,Farta Bay,AO,-12.6167,13.2,,,,,,,,1-------,RQ,1
AOFLT,Futila Terminal,AO,-5.45,12.1833,Very Small,medium vessels,45.7,,,AF-WAF,46495,1-------,RQ,1
AOGIM,Gimboa,AO,-7.5333,12.1667,,,,,,,,1-------,RL,1
AOGIR,Girassol Terminal,AO,-7.6333,11.6833,Very Small,large vessels,,,,AF-SAF,46549,1-------,RL,1
AOGPO,Greater Plutonio,AO,-7.8333,12.1167,Very Small,large vessels,5.5,5.5,,AF-SAF,46552,1-------,RL,1
AOKTI,Kiame Terminal,AO,,,,,,,,,,1-------,RQ,1
AOKOT,Kuito Terminal,AO,-5.4333,11.4833,Very Small,large vessels,5.5,,,AF-WAF,46488,1-------,XX,0
AOLAA,Landana (Cacongo),AO,,,,,,,,,,1-------,RL,1
AOLIE,Lieura,AO,,,,,,,,,,1-------,QQ,1
AOLOB,Lobito,AO,-12.33,13.57,Small,large vessels,27.4,38.4,,,46590,1---5---,RL,1
AOLBT,Lombo Terminal,AO,-6.9833,12.35,,,,,,,,1-------,RQ,1
AOLAD,Luanda,AO,-8.8,13.25,Medium,large vessels,31.1,38.4,,AF-SAF,46560,1--45---,AI,1
AOLUC,Lucira,AO,,,,,,,,,,1-3-----,RL,1
AOMSZ,Namibe,AO,-15.2,12.15,Medium,large vessels,20.1,20.1,,AF-SAF,46610,1--4----,AI,1
AONQI,NÃ³qui,AO,-5.85,13.4333,,,,,,,,123-----,RL,1
AONTO,N'Zeto (Ambrizete),AO,-7.2667,12.85,,,,,,,,1-------,RQ,1
AOPAT,Palanca Terminal,AO,-6.95,12.4,Small,large vessels,,,,,46547,1-------,RQ,1
AOPLE,Porto Alexandre (Tombua),AO,,,,,,,,,,1-3-----,RL,1
AOPBN,Porto Amboim,AO,-10.73,13.75,Very Small,,5.5,53.0,,AF-SAF,46570,1-------,AI,1
AOPSA,Porto Saco (Portosalazar),AO,-15.1333,12.1333,,,,,,,,1-------,RQ,1
AORSN,River Sao Nicolau,AO,-14.25,12.3333,,,,,,,,1-------,RQ,1
AOSTL,Sazaire Terminal,AO,-6.0833,12.3833,,,,,,,,1-------,RQ,1
AOSZA,Soyo,AO,-6.12,12.33,Very Small,large vessels,27.4,27.4,,AF-WAF,46545,1--4----,AI,1
AOSOQ,Soyo-Quinfuquena Terminal,AO,,,,,,,,,,1-------,RQ,1
AONDD,Sumbe,AO,-11.2,13.83,Very Small,,5.5,53.0,,,46580,1-34----,AI,1
AOTAK,Takula Terminal,AO,-5.22,11.78,Small,large vessels,,,,,46485,1-------,RQ,1
AQABA,Aboa,AQ,-73.05,-13.4167,,,,,,,,1-------,RL,1
AQARC,Arctowski,AQ,-62.15,-58.4667,,,,,,,,1-------,RL,1
AQART,Artigas,AQ,-62.1833,-58.9,,,,,,,,1-------,RL,1
AQAPT,Arturo Prat,AQ,-62.5,-59.6833,,,,,,,,1-------,RL,1
AQBHN,Bellingshausen,AQ,-62.1833,-58.95,,,,,,,,1-------,RL,1
AQCAS,Casey Station,AQ,-66.2833,110.5167,,,,,,,,1-------,RL,1
AQCFZ,Comandante Ferraz,AQ,-62.0833,-58.3833,,,,,,,,1-------,RL,1
AQDAV,Davis Station,AQ,-68.5667,77.9667,,,,,,,,1-------,RL,1
AQDDU,Dumont d'Urville Station,AQ,-66.65,140.0,,,,,,,,1-------,RL,1
AQESC,Escudero,AQ,-62.2,-58.95,,,,,,,,1-------,RL,1
AQESP,Esperanza,AQ,-63.3833,-56.9833,,,,,,,,1-------,RL,1
AQOHG,General Bernardo O'higgins,AQ,-63.3167,-57.9,,,,,,,,1-------,RL,1
AQGWL,Great Wall,AQ,-62.2167,-58.9667,,,,,,,,1-------,RL,1
AQHLY,Halley,AQ,-75.5667,-26.5333,,,,,,,,1-------,RL,1
AQJBS,Jang Bogo Station,AQ,-74.6,164.2,,,,,,,,1-------,RL,1
AQJCP,Juan Carlos Primero,AQ,-62.65,-60.3833,,,,,,,,1-------,RL,1
AQJUB,Jubany,AQ,-62.2333,-58.65,,,,,,,,1-------,RL,1
AQKSG,King Sejong,AQ,-62.2167,-58.7833,,,,,,,,1-------,RL,1
AQKHN,Kohnen,AQ,-75.0,0.0667,,,,,,,,1-------,RL,1
AQLAW,Law Base,AQ,-69.3833,76.3833,,,,,,,,1-------,RL,1
AQMRB,Marambio,AQ,-64.2333,-56.65,,,,,,,,1-------,RL,1
AQMZU,Mario Zucchelli,AQ,-74.6833,164.1167,,,,,,,,1-------,RL,1
AQMAW,Mawson Station,AQ,-67.6,62.8667,,,,,,,,1-------,RL,1
AQMCM,McMurdo,AQ,-77.8333,166.6667,,,,,,,,1--4----,RL,1
AQMIR,Mirny,AQ,-66.55,93.0,,,,,,,,1-------,RL,1
AQORC,Orcadas,AQ,-60.7333,-44.7333,,,,,,,,1-------,RL,1
AQPLM,Palmer,AQ,-64.7667,-64.05,,,,,,,,1-------,RL,1
AQPFS,Port Foster,AQ,-63.0,-60.5667,Very Small,,5.5,,,,63095,1-------,RL,1
AQPRO,Progress,AQ,-69.4,76.3833,,,,,,,,1-------,RL,1
AQROT,Rothera,AQ,-67.5667,-68.1167,,,,,,,,1-------,RL,1
AQSMT,San MartÃ­n,AQ,-68.1167,-67.1,,,,,,,,1-------,RL,1
AQSGN,Signy,AQ,-60.7167,-45.6,,,,,,,,1-------,RL,1
AQSYW,Syowa,AQ,-69.0,39.5833,,,,,,,,1-------,RL,1
AQVKY,Vernadsky,AQ,-65.2333,-64.25,,,,,,,,1-------,RL,1
AQWSA,Wasa,AQ,-73.05,-13.4167,,,,,,,,1-------,RL,1
AQZGN,Zhongshan,AQ,-69.3667,76.3833,,,,,,,,1-------,RL,1
ARGEO,Agrelo,AR,-33.1167,-68.8833,,,,,,,,1-------,RL,1
ARACF,Arrecifes,AR,-34.0833,-60.1167,,,,,,,,123-----,RL,1
ARASO,Arroyo Seco,AR,-33.1333,-60.4333,,,,,,,,1-------,RQ,1
ARBHI,BahÃ­a Blanca,AR,-38.7167,-62.2833,,,,,,,,1--4----,AI,1
ARBQS,Barranqueras,AR,,,,,,,,,,1-------,AI,1
ARBVC,Bella Vista,AR,-28.5,-59.05,,,,,,,,1----6--,RQ,1
ARBUE,Buenos Aires,AR,-34.615,-58.345,Large,large vessels,45.7,42.1,1850,,13760,12345---,AI,1
ARCSA,Cabo San Antonio,AR,-36.0333,-56.5667,,,,,,,,1-------,RQ,1
ARCLC,Caleta CÃ³rdoba,AR,-45.7333,-67.0667,,,,,,,,1-------,AI,1
ARCVI,Caleta Olivia,AR,,,,,,,,,,1--4----,AI,1
ARCMP,Campana,AR,-34.15,-58.95,Small,large vessels,53.0,42.1,,SA-ESA,13710,1-------,AI,1
ARCDL,Candelaria,AR,-27.45,-55.75,,,,,,,,1-------,RQ,1
ARCHO,Chilecito,AR,-29.1667,-67.5,,,,,,,,1----6--,RL,1
ARCBS,Chimbas,AR,-31.4833,-68.5333,,,,,,,,1----6--,RL,1
ARCHL,Choele Choel,AR,,,,,,,,,,1----6--,RL,1
ARCOL,ColÃ³n,AR,9.36,-79.9,Major,,53.0,42.1,5395,SA-ESA,13730,1-------,AI,1
ARCRY,Colonia Caroya,AR,,,,,,,,,,1----6--,RL,1
ARCRD,Comodoro Rivadavia,AR,-45.87,-67.47,Very Small,large vessels,5.5,38.4,,,13920,1--4----,AI,1
ARCOU,ConcepciÃ³n del Uruguay,AR,-32.4833,-58.2333,Small,large vessels,49.4,49.4,,SA-ESA,13740,1-------,AI,1
ARIQO,Coquimbito,AR,-32.9667,-68.75,,,,,,,,1-------,RL,1
ARCNQ,Corrientes,AR,,,,,,,,,,1--4----,AI,1
ARCUA,Cuatreros/Bahia Blanca,AR,,,,,,,,,,1-------,AI,1
ARDGU,Del Guazu,AR,-33.9,-58.8667,,,,,,,,1-------,RQ,1
ARDME,Diamante,AR,-32.0667,-60.65,Very Small,large vessels,45.7,45.7,,SA-ESA,13580,1-------,AI,1
ARDSU,Dock Sur,AR,-34.65,-58.3333,,,,,,,,1-3-----,RL,1
ARFMA,Formosa,AR,,,,,,,,,,1--4----,AI,1
AROYA,Goya,AR,,,,,,,,,,1--4----,AI,1
ARGHU,GualeguaychÃº,AR,-33.0167,-58.5167,,,,,,,,1--4----,AI,1
ARIBY,Ibicuy,AR,-33.7333,-59.1667,Very Small,,,45.7,,SA-ESA,13690,1-------,AI,1
ARBUI,Ingeniero Buitrago,AR,-33.35,-60.1333,,,,,,,,1-------,RL,1
ARINW,Ingeniero White/Bahia Blanca,AR,-38.7833,-62.2667,Very Small,,45.7,45.7,,SA-ESA,13830,1-3-----,RL,1
ARJLS,Jose Leon Suarez,AR,,,,,,,,,,1-------,RQ,1
ARLPM,La Paz,AR,-33.4667,-67.55,Small,medium vessels,56.7,42.1,,NAW-MEX,15920,1----6--,RL,1
ARLPG,La Plata,AR,-34.85,-57.8833,Minor,large vessels,42.1,45.7,,SA-ESA,13770,1--4----,AI,1
ARLPS,Las Palmas,AR,-34.0167,-59.1167,Major,large vessels,34.7,9.1,,AF-NAF,38170,123-----,RL,1
ARLAV,Lavalle,AR,-28.2,-65.1333,,,,,,,,1----6--,RL,1
ARLUJ,LujÃ¡n,AR,-34.5667,-59.1,,,,,,,,123-----,RL,1
ARLCU,Lujan de Cuyo,AR,-33.05,-68.8667,,,,,,,,1----6--,RL,1
ARLZG,Luzuriaga,AR,-32.95,-68.8167,,,,,,,,1----6--,RL,1
ARMDQ,Mar del Plata,AR,-38.05,-57.5333,Small,large vessels,45.7,34.7,,SA-ESA,13780,1-345---,AI,1
ARNOS,Molinos,AR,-25.4167,-66.3167,,,,,,,,1-------,RL,1
ARNEC,Necochea,AR,,,,,,,,,,1--4----,AI,1
AROVI,OlavarrÃ­a,AR,-36.8833,-60.3333,,,,,,,,123-----,RL,1
ARPP9,Pablo PodestÃ¡,AR,-34.6,-58.5167,,,,,,,,1-3-----,RL,1
ARPRA,ParanÃ¡,AR,-31.7333,-60.5333,Very Small,,53.0,53.0,,SA-ESA,13570,1--4----,AI,1
ARPCY,Pilcomayo,AR,,,,,,,,,,1-------,AI,1
ARPSS,Posadas,AR,,,,,,,,,,1--4----,AI,1
ARPAL,Puerto Alumbrera,AR,-32.65,-60.75,,,,,,,,1-------,RQ,1
ARPBG,Puerto Belgrano/Bahia Blanca,AR,-38.88,-62.1,Small,large vessels,38.4,42.1,,SA-ESA,13810,1-------,AI,1
ARPUB,Puerto Borghi,AR,,,,,,,,,,1-------,RQ,1
ARPUD,Puerto Deseado,AR,-47.75,-65.9,Very Small,large vessels,45.7,42.1,,,13930,1--4----,AI,1
ARPEL,Puerto Eldorado,AR,-26.35,-54.6833,,,,,,,,1-------,RQ,1
ARPGV,Puerto Galvan/Bahia Blanca,AR,-38.78,-62.3,Very Small,large vessels,49.4,42.1,,SA-ESA,13840,1-------,AI,1
ARROC,Puerto Ingeniero M. Rocca,AR,-34.85,-57.9333,,,,,,,,1-------,RQ,1
ARPLA,Puerto Lavalle,AR,-29.0167,-59.1833,,,,,,,,1-------,RQ,1
ARPMY,Puerto Madryn,AR,-42.75,-65.0333,Small,large vessels,49.4,23.8,,SA-ESA,13900,1--4----,AI,1
ARPNL,Puerto Nacional/Bahia Blanca,AR,,,,,,,,,,1-------,AI,1
ARPRS,Puerto Rosales/Bahia Blanca,AR,-38.9333,-62.0667,Very Small,large vessels,,49.4,,SA-ESA,13800,1-------,AI,1
ARPWA,Puerto Wanda,AR,-25.9667,-54.6,,,,,,,,1-------,RQ,1
ARPCO,Punta Colorada,AR,-41.7,-65.0,,,,,,,,1-3-----,RL,1
ARPLO,Punta Loyola,AR,-51.62,-68.97,Very Small,large vessels,56.7,49.4,,SA-WSA,13960,1-------,RQ,1
ARPME,Punta Medanos,AR,-36.8333,-56.6667,,,,,,,,1-------,RQ,1
ARPQU,Punta Quilla,AR,,,,,,,,,,1-------,RQ,1
ARQBR,Quebracho/San Lorenzo,AR,-32.65,-60.7167,,,,,,,,1-3-----,RL,1
ARQQN,QuequÃ©n,AR,-38.5333,-58.7,,,,,,,,1-------,AI,1
ARRAM,Ramallo,AR,-33.48,-60.02,Very Small,,45.7,45.7,,SA-ESA,13660,1-------,RQ,1
ARRWO,Rawson,AR,-43.3,-65.1,,,,,,,,123-----,RL,1
ARRSF,Resinfor,AR,-32.65,-60.7333,,,,,,,,1-------,RQ,1
ARRIC,Rio Cullen,AR,-52.8,-68.1833,,,,,,,,1-------,RQ,1
ARRGL,RÃ­o Gallegos,AR,-51.6333,-69.2167,,,,,,,,1--4----,AI,1
ARRGA,RÃ­o Grande,AR,-53.7833,-67.7,Very Small,,,,,SA-WSA,13970,1--4----,AI,1
ARRIV,Rivadavia,AR,-33.1833,-68.4667,,,,,,,,1----6--,RL,1
ARROS,Rosario,AR,-32.95,-60.65,Medium,large vessels,45.7,42.1,,SA-ESA,13630,12345---,AI,1
ARRFO,Rosario de la Frontera,AR,-25.8,-64.9667,,,,,,,,123-----,RL,1
ARSAL,Salto,AR,,,,,,,,,,1----6--,RL,1
ARSAE,San Antonio Este,AR,-40.8,-64.7333,,,,,,,,1-------,RQ,1
ARSCA,San Carlos,AR,-33.7667,-69.0333,Very Small,,31.1,42.1,,,59070,1----6--,RL,1
ARSFE,San Fernando,AR,,,,,,,,,,1-------,RQ,1
ARSIG,San Ignacio,AR,-27.2667,-55.5667,,,,,,,,1-------,RQ,1
ARULA,San Julian,AR,-49.3,-67.7167,Very Small,medium vessels,,45.7,,SA-WSA,13940,1--4----,AI,1
ARSLO,San Lorenzo,AR,9.78,-71.07,Very Small,large vessels,34.7,,,,11980,1-------,AI,1
ARSMA,San Martin,AR,-32.7167,-60.7333,Very Small,large vessels,49.4,53.0,,SA-ESA,13600,1-------,RQ,1
ARSMR,San Martin,AR,-33.0667,-68.4667,,,,,,,,1----6--,RL,1
ARSNS,San NicolÃ¡s de los Arroyos,AR,-33.3333,-60.2333,Very Small,large vessels,38.4,38.4,,SA-ESA,13650,1234----,AI,1
ARSPD,San Pedro,AR,-33.6833,-59.1667,Medium,large vessels,38.4,34.7,,AF-WAF,45963,1-3-----,RL,1
ARXPD,San Pedro,AR,4.73,-6.62,Medium,large vessels,38.4,34.7,,AF-WAF,45963,1--4----,AI,1
ARSSJ,San Salvador de Jujuy,AR,-24.1833,-65.3,,,,,,,,123-5---,RL,1
ARSSN,San SebastiÃ¡n,AR,-53.3,-68.4667,,,,,,,,1-------,AI,1
ARSAN,Santa Ana,AR,-27.3333,-55.5833,,,,,,,,1-------,RQ,1
ARRZA,Santa Cruz,AR,-50.0167,-68.4167,Very Small,,56.7,42.1,,,16270,1--4----,AI,1
ARSFN,Santa Fe,AR,-31.6,-60.6833,Small,large vessels,53.0,45.7,,,13560,1234----,AI,1
ARSTA,Santa Rosa,AR,-33.25,-68.15,,,,,,,,1----6--,RL,1
ARTIM,TimbÃºes,AR,-32.6333,-60.7833,,,,,,,,123-----,AM,1
AROYO,Tres Arroyos,AR,-38.3833,-60.2833,,,,,,,,1-34----,AI,1
ARTUC,TucumÃ¡n,AR,-26.8167,-65.2167,,,,,,,,1--4----,AI,1
ARTUN,Tunuyan,AR,-33.5667,-69.0167,,,,,,,,1----6--,RL,1
ARURD,Urdurrain,AR,-32.6833,-58.8833,,,,,,,,1-3-----,RQ,1
ARUSH,Ushuaia,AR,-54.8,-68.3,Small,medium vessels,56.7,42.1,,SA-WSA,13980,1--4----,AI,1
ARVLO,Vicente LÃ³pez,AR,-34.5167,-58.4833,,,,,,,,123-----,RL,1
ARVCN,Villa ConstituciÃ³n,AR,-33.2333,-60.3333,Very Small,large vessels,45.7,49.4,,SA-ESA,13640,123-----,AI,1
ARVTT,Villa del Totoral,AR,,,,,,,,,,1----6--,RL,1
ARVHE,Villa Hernandarias,AR,-31.2333,-59.9833,,,,,,,,1-------,RQ,1
ARVMD,Villa Mercedes,AR,,,,,,,,,,1----6--,RL,1
ARZAE,ZÃ¡rate,AR,-34.1,-59.0333,Medium,large vessels,38.4,38.4,,SA-ESA,13700,1-------,AI,1
ASPPG,Pago Pago,AS,14.2667,-170.7,Small,medium vessels,5.5,23.8,,OC-OCE,55680,1--45---,AI,1
ATFG7,Achau,AT,48.6667,-162.5,,,,,,,,1----6--,RQ,1
ATAWH,AltenwÃ¶rth,AT,48.3833,15.85,,,,,,,,1-3-----,RL,1
ATATN,Asten,AT,48.2167,14.4,,,,,,,,123-----,RL,1
ATSXA,Bernhardsthal,AT,48.6833,16.8667,,,,,,,,1-3-----,RL,1
ATBFS,Bischofshofen,AT,47.4167,13.2167,,,,,,,,123-----,RL,1
ATBOE,BÃ¶hlerwenk,AT,47.9833,14.75,,,,,,,,123-----,RL,1
ATBRZ,Bregenz,AT,47.5,9.7667,,,,,,,,123-----,RL,1
ATDWA,Deutsch Wagram,AT,48.3,16.5667,,,,,,,,123-----,RL,1
ATDKZ,Deutschkreutz,AT,47.6,16.6333,,,,,,,,1----6--,RL,1
ATERR,Dobermannsdorf,AT,48.6,16.8167,,,,,,,,1-------,RL,1
ATNNN,Donnerskirchen,AT,47.9,16.6333,,,,,,,,1-------,RL,1
ATDRA,Drasenhofen,AT,48.75,-16.65,,,,,,,,1----6--,RQ,1
ATDRO,Dross,AT,48.45,15.5667,,,,,,,,1-3-----,RL,1
ATDUE,DÃ¼rnstein,AT,48.3833,15.5167,,,,,,,,123-----,RL,1
ATEBR,Ebreichsdorf,AT,47.95,16.4,,,,,,,,1-3-----,RL,1
ATEWD,Eibiswald,AT,46.6833,15.8333,,,,,,,,1----6--,RL,1
ATBRI,Engabrunn,AT,48.45,15.75,,,,,,,,1-------,RL,1
ATERO,Engelmannsbrunn,AT,48.45,15.8833,,,,,,,,1-3-----,RL,1
ATDFC,Engerwitzdorf,AT,48.35,14.45,,,,,,,,1-3-----,RL,1
ATERL,Erl,AT,47.6667,12.1667,,,,,,,,1-3--6--,RL,1
ATEPD,Erpersdorf,AT,48.3333,15.9,,,,,,,,1-3-----,RL,1
ATFSU,Faistenau,AT,47.7667,13.2167,,,,,,,,1-3-----,RL,1
ATLKN,Falkenstein,AT,48.7167,13.5833,,,,,,,,1-------,RL,1
ATFHR,Fehring,AT,46.9333,16.0,,,,,,,,1-3--6--,RL,1
ATFNA,Freudenau,AT,48.1833,16.4333,,,,,,,,1-3-----,RQ,1
ATFPS,Fulpmes,AT,47.15,11.35,,,,,,,,1-3-----,RL,1
ATRTV,Gallbrunn,AT,,,,,,,,,,1----6--,RL,1
ATGA6,Gamlitz,AT,46.7167,15.55,,,,,,,,1----6--,RL,1
ATGDN,Gmunden,AT,47.9167,13.8,,,,,,,,123-----,RL,1
ATGFS,Greifenstein,AT,48.3333,16.2333,,,,,,,,123-----,RL,1
ATGRN,Grein,AT,48.2167,14.8333,,,,,,,,123-----,RL,1
ATSWH,Gross-Schweinbarth,AT,48.4,16.6167,,,,,,,,1-3-----,RL,1
ATGSN,Gutenstein,AT,47.8667,15.8833,,,,,,,,1-3-----,RL,1
ATDOF,Hadersdorf,AT,48.45,15.7167,,,,,,,,1-------,RL,1
ATHKM,Hadersdorf-Kammern,AT,48.45,15.7167,,,,,,,,1-3-----,RL,1
ATLTX,Hainfeld,AT,48.0333,15.7667,,,,,,,,1-3-----,RL,1
ATGHH,Haugsdorf,AT,48.7,16.0667,,,,,,,,1-------,RL,1
ATITN,Hausleiten,AT,48.3833,16.1,,,,,,,,1-------,RL,1
ATTEN,Hausmannstatten,AT,46.9833,15.5,,,,,,,,1-------,RL,1
ATBNN,Hobersbrunn,AT,48.5,16.5667,,,,,,,,1-------,RL,1
ATEIN,Hoflein,AT,48.0667,16.7833,,,,,,,,1-------,RL,1
ATZIN,Inzersdorf an der Traisen,AT,48.3167,15.6667,,,,,,,,1-------,RL,1
ATJPS,Japons,AT,48.7833,15.5667,,,,,,,,1----6--,RL,1
ATZLF,Jetzelsdorf,AT,48.7,16.05,,,,,,,,1-------,RL,1
ATJDD,Judendorf,AT,47.1167,15.35,,,,,,,,1----6--,RL,1
ATKAM,Kammern im Liesingtal,AT,47.4,14.9,,,,,,,,123-----,RL,1
ATKTT,Kematen in Tirol,AT,47.25,11.2667,,,,,,,,123--6--,RL,1
ATZRF,Ketzelsdorf,AT,48.65,16.65,,,,,,,,1-------,RL,1
ATKFD,Knittelfeld,AT,47.2,14.8167,,,,,,,,123-----,RL,1
ATKMB,Krummnussbaum,AT,48.2167,15.1667,,,,,,,,123--6--,RL,1
ATGHJ,Krustetten,AT,48.3667,-154.0,,,,,,,,1----6--,RL,1
