locode,name,country_code,latitude,longitude,port_size,max_vessel_size,channel_depth_m,cargo_depth_m,teu_thousands,zone_code,wpi_id,function,status,active
GRERK,Ereikousses Diapontioi Islands,GR,39.8667,19.5667,,,,,,,,1-------,RQ,1
GRERE,ErÃ©tria,GR,38.4,23.8,,,,,,,,1-3-----,AI,1
GRERM,ErmiÃ³ni,GR,37.3833,23.25,,,,,,,,1-------,AI,1
GRERY,Erythres,GR,38.2167,23.3167,,,,,,,,1-3-----,RL,1
GREYD,Eydilos,GR,37.6333,26.1833,,,,,,,,1-------,AI,1
GRFNR,Faneromeni Salaminas,GR,37.9833,23.4167,Very Small,large vessels,,,,EU-BLA,42160,1-------,RQ,1
GRFAM,Farmakonissi Dodekanissos,GR,37.2833,27.0833,,,,,,,,1-------,RQ,1
GRFIS,FiskÃ¡rdo,GR,38.45,20.5667,,,,,,,,1-------,AI,1
GRFOL,FolÃ©gandros,GR,36.6167,24.95,,,,,,,,1-------,AI,1
GRFOU,FoÃºrnoi,GR,37.5,26.5,,,,,,,,1-------,AI,1
GRSAT,Frikes Ithakis,GR,38.4667,20.6667,,,,,,,,1-------,RQ,1
GRGAL,Galatas Troizinas,GR,37.5,23.45,,,,,,,,1-------,RL,1
GRGLX,Galaxidi,GR,38.3833,22.3833,,,,,,,,1-------,RQ,1
GRGAD,Gavdos Chanea,GR,34.85,24.1167,,,,,,,,1-------,AA,1
GRGAV,GÃ¡vrion,GR,37.8833,24.7333,Very Small,medium vessels,34.7,56.7,,EU-BLA,42880,1-------,AI,1
GRGLO,Glossa,GR,39.1667,23.6167,,,,,,,,1-------,AI,1
GRGLY,Glyfa Fthiotidas,GR,38.95,22.9667,,,,,,,,1-------,AI,1
GRGFD,Glyfada,GR,37.8667,23.75,,,,,,,,1-3-----,AA,1
GRGOV,Gouvion,GR,39.65,19.85,,,,,,,,1-3-----,RQ,1
GRGYT,Gythion,GR,36.7667,22.5667,Very Small,medium vessels,53.0,42.1,,EU-BLA,41950,1-------,AA,1
GRHAL,Halki Dodekanison,GR,36.2167,27.6,,,,,,,,1-------,AI,1
GRHRK,Herakleia Kykladon,GR,36.8667,25.4667,,,,,,,,1-------,AA,1
GRHER,Heraklion (Iraklion),GR,35.3333,25.1667,,,,,,,,1--4----,AI,1
GRHYD,Hydra (Idhra),GR,37.35,23.4667,,,,,,,,1-------,AI,1
GRHYD,Idhra (Hydra),GR,37.35,23.4667,,,,,,,,1-------,AI,1
GRIER,IerÃ¡petra,GR,35.0,25.7333,,,,,,,,1-3-----,RL,1
GRIES,Ierissos,GR,40.3833,23.8833,,,,,,,,1-------,RL,1
GRIGO,IgoumenÃ­tsa,GR,39.5,20.2667,,,,,,,,1-------,AI,1
GRINO,Inousses,GR,38.5167,26.2167,,,,,,,,1-------,AI,1
GRIOS,Ios,GR,36.7167,25.2667,,,,,,,,1-------,AI,1
GRHER,Iraklion (Heraklion),GR,35.3333,25.1667,,,,,,,,1--4----,AI,1
GRITM,IsthmÃ­a,GR,37.9167,23.0,,,,,,,,1-------,AI,1
GRITA,Itea,GR,38.4333,22.4167,Very Small,medium vessels,38.4,45.7,,EU-BLA,41820,1-------,AI,1
GRITH,Ithaki (Ithaca),GR,38.3667,20.7167,,,,,,,,1-------,AI,1
GRKLM,Kalamaki,GR,37.9167,23.0167,,,,,,,,1-------,AA,1
GRKLX,KalamÃ¡ta,GR,37.0333,22.1167,Small,medium vessels,38.4,38.4,,EU-BLA,41940,1--4----,AI,1
GRKAI,Kalamos Island (Lefkada),GR,38.6167,20.9167,,,,,,,,1-------,AA,1
GRKLD,Kalathos Rodou,GR,36.1167,28.0667,,,,,,,,1-------,AA,1
GRKLL,Kalilimenes,GR,34.9333,24.8,Very Small,large vessels,31.1,,,EU-BLA,43165,1-------,AA,1
